symbol,sectorKey,industryKey,sector,industry,updated_utc
TSEM,technology,semiconductors,Technology,Semiconductors,2026-03-13T13:55:24Z
TSLX,financial-services,asset-management,Financial Services,Asset Management,2026-03-13T17:18:13Z
TT,industrials,building-products-equipment,Industrials,Building Products & Equipment,2026-03-13T14:27:02Z
TTAN,technology,software-application,Technology,Software - Application,2026-03-13T14:01:52Z
TTEK,industrials,engineering-construction,Industrials,Engineering & Construction,2026-03-13T14:27:03Z
TTWO,communication-services,electronic-gaming-multimedia,Communication Services,Electronic Gaming & Multimedia,2026-03-13T14:01:53Z
U,technology,software-application,Technology,Software - Application,2026-03-13T17:18:15Z
UCTT,technology,semiconductor-equipment-materials,Technology,Semiconductor Equipment & Materials,2026-03-13T14:01:53Z
UEC,energy,uranium,Energy,Uranium,2026-03-13T14:01:54Z
UNP,industrials,railroads,Industrials,Railroads,2026-03-13T14:27:05Z
USFD,consumer-defensive,food-distribution,Consumer Defensive,Food Distribution,2026-03-13T14:01:54Z
UUUU,energy,uranium,Energy,Uranium,2026-03-13T17:18:17Z
VAL,energy,oil-gas-equipment-services,Energy,Oil & Gas Equipment & Services,2026-03-13T13:55:24Z
VEEV,healthcare,health-information-services,Healthcare,Health Information Services,2026-03-13T17:18:18Z
VERA,healthcare,biotechnology,Healthcare,Biotechnology,2026-03-13T14:01:55Z
VERX,technology,software-application,Technology,Software - Application,2026-03-13T14:27:07Z
VET,energy,oil-gas-e-p,Energy,Oil & Gas E&P,2026-03-13T14:01:56Z
VIAV,technology,communication-equipment,Technology,Communication Equipment,2026-03-13T14:01:56Z
VISN,technology,communication-equipment,Technology,Communication Equipment,2026-03-13T14:01:57Z
VIST,energy,oil-gas-e-p,Energy,Oil & Gas E&P,2026-03-13T14:01:57Z
VKTX,healthcare,biotechnology,Healthcare,Biotechnology,2026-03-13T14:01:58Z
VLO,energy,oil-gas-refining-marketing,Energy,Oil & Gas Refining & Marketing,2026-03-13T14:01:59Z
VNT,technology,scientific-technical-instruments,Technology,Scientific & Technical Instruments,2026-03-13T14:27:09Z
VRRM,technology,information-technology-services,Technology,Information Technology Services,2026-03-13T14:27:10Z
VTR,real-estate,reit-healthcare-facilities,Real Estate,REIT - Healthcare Facilities,2026-03-13T13:55:25Z
VVV,consumer-cyclical,auto-truck-dealerships,Consumer Cyclical,Auto & Truck Dealerships,2026-03-13T14:27:11Z
VYX,technology,information-technology-services,Technology,Information Technology Services,2026-03-13T14:02:00Z
VZ,communication-services,telecom-services,Communication Services,Telecom Services,2026-03-13T14:02:00Z
WAY,healthcare,health-information-services,Healthcare,Health Information Services,2026-03-13T17:18:23Z
WBD,communication-services,entertainment,Communication Services,Entertainment,2026-03-13T14:27:12Z
WDAY,technology,software-application,Technology,Software - Application,2026-03-13T17:18:24Z
WDC,technology,computer-hardware,Technology,Computer Hardware,2026-03-13T14:02:01Z
WEC,utilities,utilities-regulated-electric,Utilities,Utilities - Regulated Electric,2026-03-13T13:55:25Z
WELL,real-estate,reit-healthcare-facilities,Real Estate,REIT - Healthcare Facilities,2026-03-13T14:02:02Z
WERN,industrials,trucking,Industrials,Trucking,2026-03-13T14:02:02Z
WHD,energy,oil-gas-equipment-services,Energy,Oil & Gas Equipment & Services,2026-03-13T14:02:03Z
WLK,basic-materials,specialty-chemicals,Basic Materials,Specialty Chemicals,2026-03-13T14:02:03Z
WMT,consumer-defensive,discount-stores,Consumer Defensive,Discount Stores,2026-03-13T14:02:04Z
WRBY,healthcare,medical-instruments-supplies,Healthcare,Medical Instruments & Supplies,2026-03-13T17:18:27Z
WSC,industrials,rental-leasing-services,Industrials,Rental & Leasing Services,2026-03-13T17:18:27Z
WULF,financial-services,capital-markets,Financial Services,Capital Markets,2026-03-13T13:55:26Z
WVE,healthcare,biotechnology,Healthcare,Biotechnology,2026-03-13T17:18:28Z
XEL,utilities,utilities-regulated-electric,Utilities,Utilities - Regulated Electric,2026-03-13T14:02:05Z
XOM,energy,oil-gas-integrated,Energy,Oil & Gas Integrated,2026-03-13T13:55:26Z
XRAY,healthcare,medical-instruments-supplies,Healthcare,Medical Instruments & Supplies,2026-03-13T14:02:06Z
XYL,industrials,specialty-industrial-machinery,Industrials,Specialty Industrial Machinery,2026-03-13T14:27:17Z
YOU,technology,software-application,Technology,Software - Application,2026-03-13T14:02:06Z
ZM,technology,software-application,Technology,Software - Application,2026-03-13T14:27:18Z
ZTS,healthcare,drug-manufacturers-specialty-generic,Healthcare,Drug Manufacturers - Specialty & Generic,2026-03-13T17:18:31Z
