symbol,sectorKey,industryKey,sector,industry,updated_utc
JOBY,industrials,airports-air-services,Industrials,Airports & Air Services,2026-03-13T17:16:58Z
KC,technology,software-application,Technology,Software - Application,2026-03-13T14:01:15Z
KD,technology,information-technology-services,Technology,Information Technology Services,2026-03-13T17:16:59Z
KEYS,technology,scientific-technical-instruments,Technology,Scientific & Technical Instruments,2026-03-13T14:01:15Z
KMI,energy,oil-gas-midstream,Energy,Oil & Gas Midstream,2026-03-13T14:01:16Z
KVYO,technology,software-application,Technology,Software - Application,2026-03-13T14:26:17Z
LAR,basic-materials,other-industrial-metals-mining,Basic Materials,Other Industrial Metals & Mining,2026-03-13T17:17:01Z
LAUR,consumer-defensive,education-training-services,Consumer Defensive,Education & Training Services,2026-03-13T14:01:17Z
LBRT,energy,oil-gas-equipment-services,Energy,Oil & Gas Equipment & Services,2026-03-13T14:01:17Z
LBTYA,communication-services,telecom-services,Communication Services,Telecom Services,2026-03-13T14:01:18Z
LC,financial-services,banks-regional,Financial Services,Banks - Regional,2026-03-13T17:17:03Z
LEGN,healthcare,biotechnology,Healthcare,Biotechnology,2026-03-13T14:01:19Z
LFST,healthcare,medical-care-facilities,Healthcare,Medical Care Facilities,2026-03-13T14:26:19Z
LI,consumer-cyclical,auto-manufacturers,Consumer Cyclical,Auto Manufacturers,2026-03-13T14:26:19Z
LIN,basic-materials,specialty-chemicals,Basic Materials,Specialty Chemicals,2026-03-13T14:01:19Z
LINE,real-estate,reit-industrial,Real Estate,REIT - Industrial,2026-03-13T14:01:20Z
LKQ,consumer-cyclical,auto-parts,Consumer Cyclical,Auto Parts,2026-03-13T14:01:21Z
LNT,utilities,utilities-regulated-electric,Utilities,Utilities - Regulated Electric,2026-03-13T13:55:19Z
LOW,consumer-cyclical,home-improvement-retail,Consumer Cyclical,Home Improvement Retail,2026-03-13T14:01:21Z
LULU,consumer-cyclical,apparel-retail,Consumer Cyclical,Apparel Retail,2026-03-13T14:01:22Z
LUV,industrials,airlines,Industrials,Airlines,2026-03-13T14:26:22Z
LW,consumer-defensive,packaged-foods,Consumer Defensive,Packaged Foods,2026-03-13T17:17:10Z
M,consumer-cyclical,department-stores,Consumer Cyclical,Department Stores,2026-03-13T14:26:22Z
MAN,industrials,staffing-employment-services,Industrials,Staffing & Employment Services,2026-03-13T17:17:11Z
MDU,utilities,utilities-regulated-gas,Utilities,Utilities - Regulated Gas,2026-03-13T14:01:23Z
META,communication-services,internet-content-information,Communication Services,Internet Content & Information,2026-03-13T14:01:23Z
MGA,consumer-cyclical,auto-parts,Consumer Cyclical,Auto Parts,2026-03-13T17:17:13Z
MGM,consumer-cyclical,resorts-casinos,Consumer Cyclical,Resorts & Casinos,2026-03-13T14:01:24Z
MGNI,communication-services,advertising-agencies,Communication Services,Advertising Agencies,2026-03-13T14:01:24Z
MIR,industrials,specialty-industrial-machinery,Industrials,Specialty Industrial Machinery,2026-03-13T14:01:25Z
MO,consumer-defensive,tobacco,Consumer Defensive,Tobacco,2026-03-13T14:01:25Z
MSFT,technology,software-infrastructure,Technology,Software - Infrastructure,2026-03-13T14:26:25Z
MSI,technology,communication-equipment,Technology,Communication Equipment,2026-03-13T13:55:19Z
MTB,financial-services,banks-regional,Financial Services,Banks - Regional,2026-03-13T14:26:26Z
MU,technology,semiconductors,Technology,Semiconductors,2026-03-13T13:55:20Z
MUX,basic-materials,other-precious-metals-mining,Basic Materials,Other Precious Metals & Mining,2026-03-13T14:01:27Z
NBIS,communication-services,internet-content-information,Communication Services,Internet Content & Information,2026-03-13T14:01:27Z
NCNO,technology,software-application,Technology,Software - Application,2026-03-13T17:17:18Z
NE,energy,oil-gas-drilling,Energy,Oil & Gas Drilling,2026-03-13T13:55:20Z
NEE,utilities,utilities-regulated-electric,Utilities,Utilities - Regulated Electric,2026-03-13T14:01:28Z
NEM,basic-materials,gold,Basic Materials,Gold,2026-03-13T14:26:28Z
NEOG,healthcare,medical-devices,Healthcare,Medical Devices,2026-03-13T14:01:29Z
NG,basic-materials,gold,Basic Materials,Gold,2026-03-13T17:17:21Z
NGD,basic-materials,gold,Basic Materials,Gold,2026-03-13T14:01:29Z
NI,utilities,utilities-regulated-gas,Utilities,Utilities - Regulated Gas,2026-03-13T13:55:21Z
NIQ,,,,,2026-03-13T17:17:22Z
NKTR,healthcare,biotechnology,Healthcare,Biotechnology,2026-03-13T14:01:30Z
NNE,industrials,specialty-industrial-machinery,Industrials,Specialty Industrial Machinery,2026-03-13T14:26:30Z
NSC,industrials,railroads,Industrials,Railroads,2026-03-13T14:26:30Z
NUE,basic-materials,steel,Basic Materials,Steel,2026-03-13T14:26:31Z
NVDA,technology,semiconductors,Technology,Semiconductors,2026-03-13T17:17:24Z
NVST,healthcare,medical-instruments-supplies,Healthcare,Medical Instruments & Supplies,2026-03-13T14:01:31Z
NXT,technology,solar,Technology,Solar,2026-03-13T13:55:21Z
NYT,communication-services,publishing,Communication Services,Publishing,2026-03-13T14:01:32Z
O,real-estate,reit-retail,Real Estate,REIT - Retail,2026-03-13T14:01:32Z
OCUL,healthcare,biotechnology,Healthcare,Biotechnology,2026-03-13T17:17:26Z
OGE,utilities,utilities-regulated-electric,Utilities,Utilities - Regulated Electric,2026-03-13T14:01:33Z
OHI,real-estate,reit-healthcare-facilities,Real Estate,REIT - Healthcare Facilities,2026-03-13T13:55:22Z
OI,consumer-cyclical,packaging-containers,Consumer Cyclical,Packaging & Containers,2026-03-13T14:26:33Z
OKLO,utilities,utilities-independent-power-producers,Utilities,Utilities - Independent Power Producers,2026-03-13T17:17:28Z
ONDS,technology,communication-equipment,Technology,Communication Equipment,2026-03-13T14:01:34Z
OPLN,consumer-cyclical,auto-truck-dealerships,Consumer Cyclical,Auto & Truck Dealerships,2026-03-13T14:26:34Z
ORC,real-estate,reit-mortgage,Real Estate,REIT - Mortgage,2026-03-13T17:17:30Z
ORLY,consumer-cyclical,auto-parts,Consumer Cyclical,Auto Parts,2026-03-13T14:01:34Z
OTEX,technology,software-application,Technology,Software - Application,2026-03-13T14:26:35Z
OXY,energy,oil-gas-e-p,Energy,Oil & Gas E&P,2026-03-13T14:01:35Z
PARR,energy,oil-gas-refining-marketing,Energy,Oil & Gas Refining & Marketing,2026-03-13T14:01:35Z
PB,financial-services,banks-regional,Financial Services,Banks - Regional,2026-03-13T14:26:36Z
PBF,energy,oil-gas-refining-marketing,Energy,Oil & Gas Refining & Marketing,2026-03-13T14:01:36Z
PCAR,industrials,farm-heavy-construction-machinery,Industrials,Farm & Heavy Construction Machinery,2026-03-13T14:26:37Z
PCG,utilities,utilities-regulated-electric,Utilities,Utilities - Regulated Electric,2026-03-13T14:01:37Z
PEB,real-estate,reit-hotel-motel,Real Estate,REIT - Hotel & Motel,2026-03-13T14:26:38Z
PEG,utilities,utilities-regulated-electric,Utilities,Utilities - Regulated Electric,2026-03-13T14:01:37Z
PEGA,technology,software-application,Technology,Software - Application,2026-03-13T14:26:39Z
PGNY,healthcare,healthcare-plans,Healthcare,Healthcare Plans,2026-03-13T14:01:38Z
PK,real-estate,reit-hotel-motel,Real Estate,REIT - Hotel & Motel,2026-03-13T14:26:40Z
PLNT,consumer-cyclical,leisure,Consumer Cyclical,Leisure,2026-03-13T14:01:38Z
PONY,technology,information-technology-services,Technology,Information Technology Services,2026-03-13T14:26:41Z
PPL,utilities,utilities-regulated-electric,Utilities,Utilities - Regulated Electric,2026-03-13T14:01:39Z
PPTA,basic-materials,other-precious-metals-mining,Basic Materials,Other Precious Metals & Mining,2026-03-13T17:17:38Z
PRGS,technology,software-infrastructure,Technology,Software - Infrastructure,2026-03-13T17:17:39Z
PSN,technology,information-technology-services,Technology,Information Technology Services,2026-03-13T14:26:41Z
PSX,energy,oil-gas-refining-marketing,Energy,Oil & Gas Refining & Marketing,2026-03-13T14:01:39Z
